article_index,article_id,API,provider,entity_type,count
1,PMC:11780411,Dictionary,Europe PMC,Chemicals,149
1,PMC:11780411,Dictionary,Europe PMC,Organisms,115
1,PMC:11780411,Dictionary,Europe PMC,Gene Ontology,80
1,PMC:11780411,Dictionary,Europe PMC,Diseases,18
1,PMC:11780411,Dictionary,Europe PMC,Gene_Proteins,57
1,PMC:11780411,Dictionary,Europe PMC,Experimental Methods,20
1,PMC:11780411,ML,Europe PMC,Chemicals,133
1,PMC:11780411,ML,Europe PMC,Gene Ontology,49
1,PMC:11780411,ML,Europe PMC,Experimental Methods,10
1,PMC:11780411,ML,Europe PMC,Gene_Proteins,64
1,PMC:11780411,ML,Europe PMC,Organisms,119
1,PMC:11780411,ML,Europe PMC,Diseases,18
1,PMC:11780411,ML,Metagenomics,Body-Site,7
1,PMC:11780411,ML,Metagenomics,Engineered,1
1,PMC:11780411,ML,Metagenomics,Treatment,147
1,PMC:11780411,ML,Metagenomics,Site,1
1,PMC:11780411,ML,Metagenomics,Place,2
1,PMC:11780411,ML,Metagenomics,Host,8
1,PMC:11780411,ML,Metagenomics,Gene,32
1,PMC:11780411,ML,Metagenomics,Sample-Material,5
1,PMC:11780411,ML,Metagenomics,State,83
1,PMC:11780411,ML,Metagenomics,Kit,1
2,PMC:11771642,Dictionary,Europe PMC,Organisms,119
2,PMC:11771642,Dictionary,Europe PMC,Gene Ontology,187
2,PMC:11771642,Dictionary,Europe PMC,Chemicals,45
2,PMC:11771642,Dictionary,Europe PMC,Experimental Methods,20
2,PMC:11771642,Dictionary,Europe PMC,Gene_Proteins,2
2,PMC:11771642,Dictionary,Europe PMC,Accession Numbers,3
2,PMC:11771642,ML,Europe PMC,Organisms,181
2,PMC:11771642,ML,Europe PMC,Gene Ontology,160
2,PMC:11771642,ML,Europe PMC,Chemicals,26
2,PMC:11771642,ML,Europe PMC,Experimental Methods,18
2,PMC:11771642,ML,Europe PMC,Gene_Proteins,2
3,PMC:11791290,Dictionary,Europe PMC,Organisms,104
3,PMC:11791290,Dictionary,Europe PMC,Experimental Methods,4
3,PMC:11791290,Dictionary,Europe PMC,Chemicals,15
3,PMC:11791290,Dictionary,Europe PMC,Gene Ontology,12
3,PMC:11791290,Dictionary,Europe PMC,Gene_Proteins,4
3,PMC:11791290,Dictionary,Europe PMC,Diseases,14
3,PMC:11791290,ML,Europe PMC,Organisms,125
3,PMC:11791290,ML,Europe PMC,Chemicals,16
3,PMC:11791290,ML,Europe PMC,Experimental Methods,1
3,PMC:11791290,ML,Europe PMC,Gene Ontology,14
3,PMC:11791290,ML,Europe PMC,Gene_Proteins,4
3,PMC:11791290,ML,Europe PMC,Diseases,13
3,PMC:11791290,ML,Metagenomics,Sequencing,38
3,PMC:11791290,ML,Metagenomics,Engineered,2
3,PMC:11791290,ML,Metagenomics,Body-Site,3
3,PMC:11791290,ML,Metagenomics,Treatment,1
3,PMC:11791290,ML,Metagenomics,Host,71
3,PMC:11791290,ML,Metagenomics,Place,2
3,PMC:11791290,ML,Metagenomics,LCM,1
3,PMC:11791290,ML,Metagenomics,Gene,6
3,PMC:11791290,ML,Metagenomics,LS,17
3,PMC:11791290,ML,Metagenomics,Sample-Material,94
3,PMC:11791290,ML,Metagenomics,State,41
3,PMC:11791290,ML,Metagenomics,Kit,3
3,PMC:11791290,ML,Metagenomics,Primer,1
4,PMC:11768080,Dictionary,Europe PMC,Organisms,210
4,PMC:11768080,Dictionary,Europe PMC,Experimental Methods,11
4,PMC:11768080,Dictionary,Europe PMC,Chemicals,101
4,PMC:11768080,Dictionary,Europe PMC,Gene Ontology,19
4,PMC:11768080,Dictionary,Europe PMC,Resources,3
4,PMC:11768080,Dictionary,Europe PMC,Gene_Proteins,1
4,PMC:11768080,Dictionary,Europe PMC,Accession Numbers,1
4,PMC:11768080,ML,Europe PMC,Organisms,241
4,PMC:11768080,ML,Europe PMC,Chemicals,75
4,PMC:11768080,ML,Europe PMC,Experimental Methods,6
4,PMC:11768080,ML,Europe PMC,Gene Ontology,10
4,PMC:11768080,ML,Europe PMC,Gene_Proteins,1
4,PMC:11768080,ML,Metagenomics,Body-Site,103
