ext_id,ann_type,partial_match_count,total_ml_count,total_dict_count,found_in_ml_not_in_dict_count,found_in_dict_not_in_ml_count,ml_not_in_dict,dict_not_in_ml,partial_matches
PPR930567,disease,1,3,1,2,0,adhd; -focused thoughts,,depression
PPR930567,organism,1,1,1,0,0,,,humans
38385056,disease,3,4,4,1,1,aml,tumorigenesis,acute myeloid leukemia; cancer; acute leukemia
38385056,exp_methods,0,0,2,0,2,,translocation; chromosomal aberrations,
38385056,gene_protein,0,0,1,0,1,,p13,
39021076,disease,3,4,3,1,0,humeral condyle,,infections; infection; osteonecrosis
39457006,gene_protein,1,1,1,0,0,,,mapk
39457006,organism,1,1,1,0,0,,,human
39457006,go_term,1,1,1,0,0,,,extracellular
39458343,chemical,2,2,2,0,0,,,carbon; glucose
39458343,organism,6,7,5,2,0,bacteria; copiotrophic bacteria,,proteobacteria; bacteria; chloroflexi; actinobacteria; bacteroidetes; acidobacteria
39458817,exp_methods,0,0,1,0,1,,environmental stress,
39458817,organism,0,1,0,1,0,macrophytes,,
39465436,disease,1,1,1,1,1,temporomandibular joint osteoarthrosis,osteoarthrosis,temporomandibular joint osteoarthrosis
39465436,go_term,1,2,3,1,2,organ,memory; learning,segmentation
39458366,gene_protein,2,3,3,2,2,carbapenemase; class d î²-lactamases,î²-lactamases; bla,oxacillinases; class d î²-lactamases
39458366,chemical,4,4,4,0,0,,,carbapenems; carbapenem; meropenem; imipenem
39458366,disease,3,3,3,0,0,,,bloodstream infections; ventilator-associated pneumonia; infections
39458366,exp_methods,0,0,1,0,1,,insertion,
39458366,organism,2,3,2,1,0,bacteria,,acinetobacter baumannii; a. baumannii
39463558,disease,4,4,6,0,2,,rare disorder; skin lesion,mononucleosis; infectious mononucleosis; histiocytosis; langerhans cell histiocytosis
39463558,exp_methods,1,1,1,0,0,,,biopsy
39466320,gene_protein,0,0,1,0,1,,mof,
39466320,chemical,3,4,3,1,0,metal,,fumaric acid; lanthanide; water
39466320,go_term,2,2,3,0,1,,pores,membranes; membrane
39432627,disease,2,3,2,1,0,exanthema,,depression; hyperpigmentation
39432627,chemical,1,1,1,0,0,,,lamotrigine
39432627,gene_protein,0,1,0,1,0,car,,
38404661,disease,1,3,1,3,1,rvot obstruction; membranous pulmonary atresia; tetralogy of fallot,pulmonary atresia,membranous pulmonary atresia
PPR880824,gene_protein,0,0,1,0,1,,erh,
PPR880824,organism,7,10,7,4,1,insect; drosophilid; fig fly; drosophilids,z. indianus,wasps; leptopilina heterotoma; drosophilid; zaprionus indianus; d. hydei; drosophila hydei; d. simulans
39464240,disease,2,2,4,1,3,neonatal sepsis,perinatal asphyxia; early onset neonatal sepsis; preterm birth,neonatal sepsis; respiratory distress syndrome
39464240,go_term,0,0,1,0,1,,deaths,
39458379,chemical,1,2,1,1,0,carbohydrates,,water
39458379,gene_protein,2,2,2,0,0,,,superoxide dismutase; peroxidase
39458379,go_term,2,3,2,1,0,metabolite,,secretion; biosynthesis
39458379,disease,1,1,2,0,1,,dysbiosis,acne
39458379,organism,8,13,6,7,0,plant; microbiota; bacteria; aloe; microbes; fungi; mites,,aloe vera; human; bacteria; aloe; propionibacterium acnes; candida albicans; liliaceae; staphylococcus aureus
38492399,gene_protein,0,2,0,2,0,thyroxin; hormones,,
38492399,chemical,4,4,5,0,1,,thyroid,phthalates; organophosphate esters; metals; polycyclic aromatic hydrocarbons
38492399,go_term,1,2,1,1,0,hormone homeostasis,,ageing
39466125,chemical,1,1,2,0,1,,hydroxy,simvastatin
39466125,gene_protein,2,4,2,3,1,3-hydroxy-3-methylglutaryl (hmg)-coenzyme a (coa) reductase; calpain-1; smad-3,calpain,hmg-coa reductase; calpain-1
39466125,go_term,5,6,6,2,2,mitochondrial; phosphorylation,oxidative phosphorylation; memory,nucleus; electron transfer; axon terminals; metabolism; phosphorylation
39466125,disease,3,3,3,0,0,,,sepsis; dementia; infection
39466125,organism,2,2,2,0,0,,,wistar rats; animals
39458646,gene_protein,3,6,4,3,1,nuclear factor of activated t cell-regulated; nfat; polymerase,calcineurin inhibitors,interleukin-2; interferon-î³; granulocyte-macrophage colony-stimulating factor
39458646,chemical,1,1,1,0,0,,,tacrolimus
39458646,disease,2,2,2,0,0,,,infections; infection
39458646,go_term,1,1,1,0,0,,,gene expression
PPR929419,gene_protein,2,3,2,1,0,collagen,,p53; kras
PPR929419,chemical,0,0,2,0,2,, pro-; collagen,
PPR929419,disease,5,5,8,0,3,,tumor expansion; tumor progression; metastatic cancer,lung adenocarcinoma; tumors; primary tumors; tumor; cancer
PPR929419,exp_methods,0,1,1,1,1,assays,spatial transcriptomics,
PPR929419,organism,1,1,1,0,0,,,mouse
38386123,disease,4,5,4,1,0,gn,,liver cancer; hepatoma; cancer; hepatocellular carcinoma
38386123,exp_methods,1,1,1,0,0,,,assay
38386123,chemical,4,4,4,1,1,iron oxide,iron oxide nanoparticles,nitrogen; iron oxide; graphene; iron
38386123,gene_protein,1,1,1,1,1,transferrin receptors,transferrin,transferrin receptors
39093456,disease,1,1,2,0,1,,hemolysis,acute kidney injury
39093456,chemical,1,1,1,0,0,,,creatinine
39093456,gene_protein,2,2,2,0,0,,,neutrophil gelatinase-associated lipocalin; ngal
38862084,disease,2,2,2,0,0,,,knee osteoarthritis; osteoarthritis
38862084,chemical,0,4,0,4,0,arginine; serine; alanine; glycine,,
38862084,gene_protein,3,4,2,3,1,disintegrin and metalloproteinase; args; adamts)-5,disintegrin,disintegrin and metalloproteinase; adamts)-5; adamts-5
