pmid_or_ft_id,ann_type,partial_match_count,total_ml_count,total_dict_count,ml_not_in_dict_count,dict_not_in_ml_count,ml_not_in_dict,dict_not_in_ml,partial_matches
11321433,chemical,8,10,7,4,1,lipoproteins; estrogen; triglyceride; sugar,insulin,cholesterol; triglyceride; triglycerides; lipoproteins; glucose; acetic acid; iodine; lipoprotein
11321433,gene_protein,0,2,0,2,0,insulin; mets,,
11321433,go_term,2,2,3,1,2,synthesis,behaviour; estrogen synthesis,synthesis; pathogenesis
11321433,disease,17,24,15,12,3,hpv infections; insulin resistance; cardiovascular complications; lesions; hyperestrogenemia; diabetes mellitus; hypertriglyceridemia; hiv infection; metabolic syndrome; hyperglycemia; hpv infection; triglyceridemia,advanced cancer; infections; infection,hpv infections; hypertension; diabetes; cancer of the cervix; invasive cervical cancer; hyperglycaemia; cervical cancer; diabetes mellitus; chronic infection; endometrial cancers; hiv infection; hyperinsulinemia; central obesity; tumor; cancer; hyperglycemia; hpv infection
11321433,exp_methods,1,1,1,0,0,,,biopsy
11321433,organism,2,3,2,1,0,women,,hiv; human papillomavirus
11245188,disease,5,15,5,12,2,brain damage; -ischemic brain damage; brain injuries; injury; -traumatic brain injury; atrophy; traumatic brain injury; damage; concussion; insomnia; cognitive; brain injury,cortical atrophy; cognitive deficits,aphasia; atrophy; cognitive dysfunction; neurological disorder; cognitive
11245188,exp_methods,0,0,3,0,3,,infrared spectroscopy; pharmacotherapy; imaging technique,
11245188,organism,0,0,1,0,1,,man,
11245188,chemical,7,7,8,0,1,,gamma-aminobutyric acid,zolpidem; serotonin; positron; zopiclone; benzodiazepine; dopamine; acetylcholine
11245188,gene_protein,0,3,1,3,1,gaba(a) gamma-aminobutyric acid type a receptor; gamma-aminobutyric acid type a receptor; gaba(a),hemoglobin,
11245188,go_term,1,4,2,3,1,binding; behavioral; axonal,memory,sleep
11322431,exp_methods,0,0,1,0,1,,profiler,
11322431,chemical,0,0,3,0,3,,delta; gamma; singular,
11322431,gene_protein,0,1,0,1,0,erk4,,
11322431,go_term,1,2,3,1,2,-,translation; learning,segmentation
11297988,gene_protein,13,16,11,8,3,"aminoacyl trna synthetase; rna polymerase; aminoacyl-trna synthetase 5; pyrophosphohydrolase; -3,4-dioxygenase; aminoacyl-trna synthetases; rag; bsa",pcd; streptavidin; t7 rna polymerase,"aminoacyl trna synthetase; rna polymerase; rnase; neb; rnase a; glyqs; inorganic pyrophosphatase; aminoacyl-trna synthetase 5; -3,4-dioxygenase; aminoacyl-trna synthetases; iles; tyrs; nuclease"
