pmcid,sentence,ner
PMC6937151,"EECs communicate not only through circulating hormones, but also through direct paracrine and neuronal signaling to multiple systems including the intrinsic and extrinsic nervous system, pancreas, liver and adipose tissue (Bohórquez et al., 2015; Gribble and Reimann, 2016; Kaelberer et al., 2018; Latorre et al., 2016).","[(94, 100, 'neuron', 'CL')]"
PMC6937151,"However, these in vitro models are not suited for modeling the effect of diet and microbiota on EEC function as they are unable to reproduce the complex in vivo environment that involves signals from neighboring cells like enterocytes, enteric nerves, blood vessels and immune cells.","[(223, 233, 'enterocyte', 'CL')]"
PMC6937151,"The zebrafish intestine develops most of the same differentiated epithelial cell types as observed in mammals, including absorptive enterocytes, mucus-secreting goblet cells, and EECs (Ng et al., 2005; Wallace et al., 2005; Wallace and Pack, 2003).","[(65, 80, 'epithelial cell', 'CL'), (161, 172, 'goblet cell', 'CL'), (132, 142, 'enterocyte', 'CL')]"
PMC6937151,"Absorption of dietary fat occur primarily in enterocytes within the proximal intestine of the zebrafish (Quinlivan and Farber, 2017) (yellow area in Figure 1D).","[(45, 55, 'enterocyte', 'CL')]"
PMC6937151,(C’) Subpanel image of zebrafish enterocyte marked by Tg(fabp2:DsRed).,"[(33, 43, 'enterocyte', 'CL')]"
PMC6937151,"We found that both lines labeled cells in the intestinal epithelium of 6 dpf zebrafish (Figure 1A–B, Figure 1—figure supplement 1A), and that these neurod1+ cells do not overlap with goblet cells and express the intestinal secretory cell marker 2F11 (Crosnier et al., 2005) (Figure 1—figure supplement 1C–E).","[(183, 194, 'goblet cell', 'CL')]"
PMC6937151,"Additionally, our results demonstrated that neurod1+ cells in the intestine do not overlap with the mature enterocyte marker ifabp/fabp2 (Kanther et al., 2011) (Figure 1C).","[(107, 117, 'enterocyte', 'CL')]"
PMC6937151,"The regionalization of EEC hormone expression may reflect the functional difference of EECs and other epithelial cell types along the zebrafish intestine (Lickwar et al., 2017).","[(102, 117, 'epithelial cell', 'CL')]"
PMC6937151,"Similarly, we found that Sglt1 is expressed on the apical surface of zebrafish intestinal epithelial cells including enterocytes and EECs (Figure 3E).","[(117, 127, 'enterocyte', 'CL')]"
PMC6937151,Enteroendocrine cells (EECs) are marked by TgBAC(neurod1:EGFP) and enterocytes are marked by Tg(fabp2:DsRed).,"[(67, 77, 'enterocyte', 'CL')]"
PMC6937151,"In these animals, the apical surface of EECs and other intestinal epithelial cells can be labeled by gata5:lifeAct-EGFP and the cytoplasmic extension of EECs to the apical lumen can be visualized and quantified through z-stack confocal imaging of the proximal intestine (Video 4).","[(66, 81, 'epithelial cell', 'CL')]"
PMC6937151,"During and after HF feeding, FA taken up by enterocytes are stored in cytosolic lipid droplets (LD) in addition to secreted CM.","[(44, 54, 'enterocyte', 'CL')]"
PMC6937151,"Similar to mammals, fish EECs are thought to arise from intestinal stem cells through a series of signals that govern the differentiation process (Aghaallaei et al., 2016).","[(67, 76, 'stem cell', 'CL')]"
PMC6937151,"Delta-Notch signaling appears to control the differentiation of stem cells into absorptive and secretory cell lineages in both zebrafish and mammals (Crosnier et al., 2005).","[(64, 73, 'stem cell', 'CL')]"
PMC6937151,"In neurons for example, similar desensitization has been shown to protect nerve cells from excitatory neurotransmitter induced toxicity (Gainetdinov et al., 2004; Quick and Lester, 2002) and blocking desensitization of excitatory neuronal receptors induces rapid neuronal cell death (Walker et al., 2009).","[(3, 9, 'neuron', 'CL')]"
PMC6937151,"The open EECs were thought to sense and respond to luminal stimulation while, although less clear, the closed EECs were thought to respond to hormonal and neuronal stimulation from the basolateral side.","[(155, 161, 'neuron', 'CL')]"
PMC6937151,"Studies from multiple organisms revealed that sensory neurons can eliminate their dendrites and axons during development and in response to injury through active pruning (Kanamori et al., 2013; Nikolaev et al., 2009; Sagasti et al., 2005; Williams et al., 2006; Yu and Schuldiner, 2014).","[(46, 60, 'sensory neuron', 'CL')]"
PMC6937151,"It is well known that EECs possess many neuron-like features including neurotransmitters, neurofilaments, and synaptic proteins (Bohórquez et al., 2015).","[(40, 46, 'neuron', 'CL')]"
PMC6937151,Whether EECs adopt the same mechanisms as neurons to prune their cellular processes in response to nutritional and microbial signals is intriguing and requires future study.,"[(42, 48, 'neuron', 'CL')]"
PMC6937151,"Within the intestinal epithelium, EECs are surrounded by absorptive enterocytes and these two cell types exhibit complex bi-directional communication (Hein et al., 2013; Hsieh et al., 2009; Okawa et al., 2009; Shimotoyodome et al., 2009).","[(68, 78, 'enterocyte', 'CL')]"
PMC6937151,"Following ingestion of a complex high fat meal, free fatty acids and glycerol liberated from triglyceride digestion are taken up by enterocytes and assembled into lipid droplets and chylomicrons (Phan, 2001).","[(132, 142, 'enterocyte', 'CL')]"
PMC6937151,The subsequent enlargement of enterocytes from lipid droplet accumulation may exert mechanical pressure on EECs that could force the morphological changes associated with EEC silencing.,"[(30, 40, 'enterocyte', 'CL')]"
PMC6937151,"Besides mechanical pressure, lipoproteins and free fatty acids released from enterocytes may act on EECs basolaterally to alter their function (Chandra et al., 2013; Okawa et al., 2009; Shimotoyodome et al., 2009).","[(77, 87, 'enterocyte', 'CL')]"
PMC6937151,"Previous studies in gnotobiotic zebrafish and mice have shown that lipid digestion and absorption is impaired in germ-free animals and enterocytes in germ-free conditions exhibit reduced lipid droplet accumulation (Martinez-Guryn et al., 2018; Semova et al., 2012).","[(135, 145, 'enterocyte', 'CL')]"
PMC6937151,Resistance of germ-free zebrafish to high fat induced EEC silencing might be linked to reduced lipid droplet accumulation in their enterocytes thereby minimizing increases in mechanical pressure or secondary signaling molecules imposed by enterocytes on their neighboring EECs.,"[(131, 141, 'enterocyte', 'CL')]"
PMC6937151,"baumannii, a related oportunitistic pathogen, can signal to host epithelial cells through secreted outer membrane vesicles (OMVs) and activation of downstream inflammatory pathways (Jha et al., 2017; Jin et al., 2011; Jun et al., 2013; March et al., 2010).","[(65, 80, 'epithelial cell', 'CL')]"
PMC6937151,"Given the similarity of EECs to neurons, a functional ""desensitization"" of EECs after continuous stimulation (by HFD) is not unexpected.","[(32, 38, 'neuron', 'CL')]"
