"File_name","PMCID","Entity_Type","Original_set","Comparison_set","Filtered_set"
"patch-30-09-2023-0.api.json","6114996","disease","torsion","","torsion"
"patch-30-09-2023-0.api.json","6114996","gene_protein","Huc;NIR;NBS","","Huc;NIR;NBS"
"patch-30-09-2023-0.api.json","6114996","organism","","",""
"patch-30-09-2023-0.api.json","6121705","disease","","",""
"patch-30-09-2023-0.api.json","6121705","gene_protein","wrt;erf;dynamo","","wrt;erf;dynamo"
"patch-30-09-2023-0.api.json","6121705","organism","","",""
"patch-30-09-2023-0.api.json","6120763","disease","","",""
"patch-30-09-2023-0.api.json","6120763","gene_protein","","",""
"patch-30-09-2023-0.api.json","6120763","organism","Human;tobacco","","Human;tobacco"
"patch-30-09-2023-0.api.json","6128147","disease","","",""
"patch-30-09-2023-0.api.json","6128147","gene_protein","HB1;tri","","HB1;tri"
"patch-30-09-2023-0.api.json","6128147","organism","bear;tetra","","bear;tetra"
"patch-30-09-2023-0.api.json","6133011","disease","","",""
"patch-30-09-2023-0.api.json","6133011","gene_protein","α-1;sim","","α-1;sim"
"patch-30-09-2023-0.api.json","6133011","organism","Almeida","","Almeida"
"patch-30-09-2023-0.api.json","6116708","disease","defect;Defect;defects","","defect;Defect;defects"
"patch-30-09-2023-0.api.json","6116708","gene_protein","HBA;HBB;STM;AIP;He2;HCj;SAB;SAA;pre3;tri","","HBA;HBB;STM;AIP;He2;HCj;SAB;SAA;pre3;tri"
"patch-30-09-2023-0.api.json","6116708","organism","Electron;SV5;Honeycomb;honeycomb","","Electron;SV5;Honeycomb;honeycomb"
"patch-30-09-2023-0.api.json","6130383","disease","defect;defects","","defect;defects"
"patch-30-09-2023-0.api.json","6130383","gene_protein","S9B;S9A;AQR;vis","","S9B;S9A;AQR;vis"
"patch-30-09-2023-0.api.json","6130383","organism","Electron","","Electron"
"patch-30-09-2023-0.api.json","6126654","disease","","",""
"patch-30-09-2023-0.api.json","6126654","gene_protein","C1d;Al3;mcl","","C1d;Al3;mcl"
"patch-30-09-2023-0.api.json","6126654","organism","Electron;large blue","","Electron;large blue"
"patch-30-09-2023-0.api.json","6128379","disease","obsession;myopic","","obsession;myopic"
"patch-30-09-2023-0.api.json","6128379","gene_protein","","",""
"patch-30-09-2023-0.api.json","6128379","organism","bear","","bear"
"patch-30-09-2023-0.api.json","6133602","disease","lack of interest;critical illness","","lack of interest;critical illness"
"patch-30-09-2023-0.api.json","6133602","gene_protein","Lam","","Lam"
"patch-30-09-2023-0.api.json","6133602","organism","","",""
"patch-30-09-2023-0.api.json","6121781","disease","","",""
"patch-30-09-2023-0.api.json","6121781","gene_protein","","",""
"patch-30-09-2023-0.api.json","6121781","organism","cylinder","","cylinder"
"patch-30-09-2023-0.api.json","5446557","disease","defect;defects","","defect;defects"
"patch-30-09-2023-0.api.json","5446557","gene_protein","tri","","tri"
"patch-30-09-2023-0.api.json","5446557","organism","","",""
"patch-30-09-2023-0.api.json","6115203","disease","torsion","","torsion"
"patch-30-09-2023-0.api.json","6115203","gene_protein","vis;Fe1","","vis;Fe1"
"patch-30-09-2023-0.api.json","6115203","organism","Argon","","Argon"
"patch-30-09-2023-0.api.json","6128332","disease","","",""
"patch-30-09-2023-0.api.json","6128332","gene_protein","","",""
"patch-30-09-2023-0.api.json","6128332","organism","Chorus;Mango","","Chorus;Mango"
"patch-30-09-2023-0.api.json","6124042","disease","","",""
"patch-30-09-2023-0.api.json","6124042","gene_protein","NPS","","NPS"
"patch-30-09-2023-0.api.json","6124042","organism","","",""
"patch-30-09-2023-0.api.json","6121126","disease","oxygen deficiency;Defects;defects","","oxygen deficiency;Defects;defects"
"patch-30-09-2023-0.api.json","6121126","gene_protein","","",""
"patch-30-09-2023-0.api.json","6121126","organism","","",""
"patch-30-09-2023-0.api.json","6127723","disease","torsion","","torsion"
"patch-30-09-2023-0.api.json","6127723","gene_protein","N10;C1/C2;APEX2;N1106;cml;P21;AC3;H10;N1118","","N10;C1/C2;APEX2;N1106;cml;P21;AC3;H10;N1118"
"patch-30-09-2023-0.api.json","6127723","organism","","",""
"patch-30-09-2023-0.api.json","6123648","disease","","",""
"patch-30-09-2023-0.api.json","6123648","gene_protein","NHC;DME;S12;ATR;ORCA;MS3;CHN;S11;dme","","NHC;DME;S12;ATR;ORCA;MS3;CHN;S11;dme"
"patch-30-09-2023-0.api.json","6123648","organism","Electron","","Electron"
"patch-30-09-2023-0.api.json","6120748","disease","purging","","purging"
"patch-30-09-2023-0.api.json","6120748","gene_protein","ALD;PTL","","ALD;PTL"
"patch-30-09-2023-0.api.json","6120748","organism","","",""
"patch-30-09-2023-0.api.json","6127712","disease","reflux;torsion","","reflux;torsion"
"patch-30-09-2023-0.api.json","6127712","gene_protein","Cl2;N10;H1B;H1A;N1106;P21;CH2;Cl1;AC1;N1118;tri;ATR","","Cl2;N10;H1B;H1A;N1106;P21;CH2;Cl1;AC1;N1118;tri;ATR"
"patch-30-09-2023-0.api.json","6127712","organism","","",""
"patch-30-09-2023-0.api.json","6144105","disease","renal failure;primary hypothyroidism;multiorgan failure;peripheral ischaemia;Hypogonadism;hypoglycaemia;hypothyroid;thromboembolic events;meningococcal infection;hypergonadotropic hypogonadism;testicular atrophy;autoimmune hypothyroidism;secondary hypogonadism;end-stage renal failure;hypoadrenalism;testicular failure;endocrinopathies;thromboembolic event;haemorrhagic necrosis;meningococcaemia;primary hypogonadism;primary adrenal insufficiency;hyperprolactinaemia;hypogonadism;Severe sepsis;insulinoma;hypocalcaemia;meningococcal sepsis;ischaemia;infection;meningococcal septicaemia;sepsis;sick euthyroid syndrome;severe sepsis;adrenal insufficiency;critical illness;septicaemia;coagulopathy;secondary hyperparathyroidism;adrenal haemorrhage;Waterhouse-Friderichsen syndrome","","renal failure;primary hypothyroidism;multiorgan failure;peripheral ischaemia;Hypogonadism;hypoglycaemia;hypothyroid;thromboembolic events;meningococcal infection;hypergonadotropic hypogonadism;testicular atrophy;autoimmune hypothyroidism;secondary hypogonadism;end-stage renal failure;hypoadrenalism;testicular failure;endocrinopathies;thromboembolic event;haemorrhagic necrosis;meningococcaemia;primary hypogonadism;primary adrenal insufficiency;hyperprolactinaemia;hypogonadism;Severe sepsis;insulinoma;hypocalcaemia;meningococcal sepsis;ischaemia;infection;meningococcal septicaemia;sepsis;sick euthyroid syndrome;severe sepsis;adrenal insufficiency;critical illness;septicaemia;coagulopathy;secondary hyperparathyroidism;adrenal haemorrhage;Waterhouse-Friderichsen syndrome"
"patch-30-09-2023-0.api.json","6144105","gene_protein","peroxidase;ACTH;prolactin;IGF-1;serum albumin;growth hormone;SHBG;renin;PTH;adrenocorticotropic hormone;growth factor;parathyroid hormone;sex hormone binding globulin","","peroxidase;ACTH;prolactin;IGF-1;serum albumin;growth hormone;SHBG;renin;PTH;adrenocorticotropic hormone;growth factor;parathyroid hormone;sex hormone binding globulin"
"patch-30-09-2023-0.api.json","6144105","organism","man;N. meningitidis;Neisseria meningitidis;T4","","man;N. meningitidis;Neisseria meningitidis;T4"
"patch-30-09-2023-0.api.json","6127719","disease","torsion","","torsion"
"patch-30-09-2023-0.api.json","6127719","gene_protein","F10;AC5;SMD;CSD;N10;H1B;CMP;APEX2;P21;cml;def2;F11;AC1;tri;H1A","","F10;AC5;SMD;CSD;N10;H1B;CMP;APEX2;P21;cml;def2;F11;AC1;tri;H1A"
"patch-30-09-2023-0.api.json","6127719","organism","","",""
"patch-30-09-2023-0.api.json","6124103","disease","denial;Denial","","denial;Denial"
"patch-30-09-2023-0.api.json","6124103","gene_protein","spam","","spam"
"patch-30-09-2023-0.api.json","6124103","organism","","",""
"patch-30-09-2023-0.api.json","6129291","disease","","",""
"patch-30-09-2023-0.api.json","6129291","gene_protein","mez;std;K protein;GTX;Sim","","K protein;GTX;mez;std;Sim"
"patch-30-09-2023-0.api.json","6129291","organism","Meara","","Meara"
"patch-30-09-2023-0.api.json","6117106","disease","defects","","defects"
"patch-30-09-2023-0.api.json","6117106","gene_protein","vis;CNC","","vis;CNC"
"patch-30-09-2023-0.api.json","6117106","organism","coffee;bear","","coffee;bear"
"patch-30-09-2023-0.api.json","6133686","disease","","",""
"patch-30-09-2023-0.api.json","6133686","gene_protein","SCF;L23","","L23;SCF"
"patch-30-09-2023-0.api.json","6133686","organism","","",""
"patch-30-09-2023-0.api.json","6126754","disease","","",""
"patch-30-09-2023-0.api.json","6126754","gene_protein","MIF;magmas;EM1","","MIF;magmas;EM1"
"patch-30-09-2023-0.api.json","6126754","organism","Oxides","","Oxides"
"patch-30-09-2023-0.api.json","6124030","disease","","",""
"patch-30-09-2023-0.api.json","6124030","gene_protein","PDI;alt;SCS;IDS","","PDI;alt;SCS;IDS"
"patch-30-09-2023-0.api.json","6124030","organism","sandpaper;Electron","","sandpaper;Electron"
"patch-30-09-2023-0.api.json","6124058","disease","","",""
"patch-30-09-2023-0.api.json","6124058","gene_protein","SO3;CH2","","SO3;CH2"
"patch-30-09-2023-0.api.json","6124058","organism","tetra","","tetra"
"patch-30-09-2023-0.api.json","5411404","disease","","",""
"patch-30-09-2023-0.api.json","5411404","gene_protein","","",""
"patch-30-09-2023-0.api.json","5411404","organism","cylinder","","cylinder"
"patch-30-09-2023-0.api.json","6122604","disease","struck","","struck"
"patch-30-09-2023-0.api.json","6122604","gene_protein","Pi2;MLR","","Pi2;MLR"
"patch-30-09-2023-0.api.json","6122604","organism","Uma;Conger","","Uma;Conger"
"patch-30-09-2023-0.api.json","6128020","disease","","",""
"patch-30-09-2023-0.api.json","6128020","gene_protein","sec13;sec5;Lam;IDS;sec15","","sec13;sec5;Lam;IDS;sec15"
"patch-30-09-2023-0.api.json","6128020","organism","cylinder;cylinders","","cylinder;cylinders"
"patch-30-09-2023-0.api.json","6157583","disease","Rheumatic fever;Kawasaki disease;bacteraemia;polyarteritis nodosa;Malignancy;liver insufficiency;Cushing syndrome;cancer;pancytopenia;synovitis;spondyloarthropathies;spondyloarthropathy;gonorrhoea;ankle joint effusion;Bacteraemia;pleuritis;carditis;autoimmune diseases;pruritic rash;rheumatoid arthritis;syphilis;allergies;pneumonia;leucocytosis;infections;uveitis;systemic juvenile idiopathic arthritis;Rheumatoid arthritis;Sydenham chorea;psoriasis;periarticular osteopenia;pericarditis;subcutaneous nodules;tuberculosis;arthritis;autoinflammatory disease;melaena;inflammatory arthritis;oedema;rheumatic fever;bowel obstruction;demineralisation;endocarditis;Endocarditis;malignancy;sexually transmitted disease;congenital heart disease;infection;hepatitis;lymphoma;alcohol abuse;Hepatitis;leukaemia;haemolytic disease of the newborn;strep;hypertension;portal vein thrombosis;coagulopathy;jaundice;lupus;renal disease","","Rheumatic fever;Kawasaki disease;bacteraemia;polyarteritis nodosa;Malignancy;liver insufficiency;Cushing syndrome;cancer;pancytopenia;synovitis;spondyloarthropathies;spondyloarthropathy;gonorrhoea;ankle joint effusion;Bacteraemia;pleuritis;carditis;autoimmune diseases;pruritic rash;rheumatoid arthritis;syphilis;allergies;pneumonia;leucocytosis;infections;uveitis;systemic juvenile idiopathic arthritis;Rheumatoid arthritis;Sydenham chorea;psoriasis;periarticular osteopenia;pericarditis;subcutaneous nodules;tuberculosis;arthritis;autoinflammatory disease;melaena;inflammatory arthritis;oedema;rheumatic fever;bowel obstruction;demineralisation;endocarditis;Endocarditis;malignancy;sexually transmitted disease;congenital heart disease;infection;hepatitis;lymphoma;alcohol abuse;Hepatitis;leukaemia;haemolytic disease of the newborn;strep;hypertension;portal vein thrombosis;coagulopathy;jaundice;lupus;renal disease"
"patch-30-09-2023-0.api.json","6157583","gene_protein","SS-B;age 1;SS-A;Scl;A ferritin;IL-6;myeloperoxidase;TNF;rheumatoid factor;tumor necrosis factor;CCP;proteinase 3;ferritin;C reactive protein;IL-1 beta;HLA","","SS-B;age 1;SS-A;Scl;A ferritin;IL-6;TNF;proteinase 3;tumor necrosis factor;ferritin;myeloperoxidase;rheumatoid factor;CCP;C reactive protein;IL-1 beta;HLA"
"patch-30-09-2023-0.api.json","6157583","organism","man;tobacco;human;HIV","","man;tobacco;human;HIV"
"patch-30-09-2023-0.api.json","6120350","disease","torsion","","torsion"
"patch-30-09-2023-0.api.json","6120350","gene_protein","CIP","","CIP"
"patch-30-09-2023-0.api.json","6120350","organism","","",""
"patch-30-09-2023-0.api.json","6122178","disease","defect;photosensitivity;defects","","photosensitivity;defect;defects"
"patch-30-09-2023-0.api.json","6122178","gene_protein","Ag2;alt;A2M;Sn2;Al3;CH2;FTO;Al1;MA2;PEA;MAI;vis;tri;BCP;Cs3","","Ag2;alt;A2M;Sn2;Al3;CH2;FTO;Al1;MA2;PEA;MAI;vis;tri;BCP;Cs3"
"patch-30-09-2023-0.api.json","6122178","organism","harvesters","","harvesters"
"patch-30-09-2023-0.api.json","6124067","disease","","",""
"patch-30-09-2023-0.api.json","6124067","gene_protein","Cd2;Cl2;SO3","","Cd2;Cl2;SO3"
"patch-30-09-2023-0.api.json","6124067","organism","","",""
"patch-30-09-2023-0.api.json","6127721","disease","torsion","","torsion"
"patch-30-09-2023-0.api.json","6127721","gene_protein","C4B;C8B;C8A;en-1;H2A1;N10;C4A;APEX2;cml;P21;1C7;vis","","C4B;C8B;C8A;en-1;H2A1;N10;C4A;APEX2;cml;P21;1C7;vis"
"patch-30-09-2023-0.api.json","6127721","organism","","",""
"patch-30-09-2023-0.api.json","6115432","disease","radiation damage;defects","","radiation damage;defects"
"patch-30-09-2023-0.api.json","6115432","gene_protein","CEA","","CEA"
"patch-30-09-2023-0.api.json","6115432","organism","Compton;cylinder;plants;Oxide","","Compton;cylinder;plants;Oxide"
"patch-30-09-2023-0.api.json","5332510","disease","","",""
"patch-30-09-2023-0.api.json","5332510","gene_protein","SP2","","SP2"
"patch-30-09-2023-0.api.json","5332510","organism","","",""
"patch-30-09-2023-0.api.json","6119555","disease","","",""
"patch-30-09-2023-0.api.json","6119555","gene_protein","","",""
"patch-30-09-2023-0.api.json","6119555","organism","Padilla","","Padilla"
"patch-30-09-2023-0.api.json","6122596","disease","aids","","aids"
"patch-30-09-2023-0.api.json","6122596","gene_protein","","",""
"patch-30-09-2023-0.api.json","6122596","organism","Composite","","Composite"
"patch-30-09-2023-0.api.json","6119358","disease","infertility;adrenal insufficiency;cancer;arthritis;depression;vocal cord paralysis;asthma;Anaphylaxis;hypotension;Myocardial infarction;epilepsy;chronic diseases;hypoperfusion","","infertility;adrenal insufficiency;cancer;arthritis;depression;vocal cord paralysis;asthma;Anaphylaxis;hypotension;Myocardial infarction;epilepsy;chronic diseases;hypoperfusion"
"patch-30-09-2023-0.api.json","6119358","gene_protein","Adrenocorticotropic hormone","","Adrenocorticotropic hormone"
"patch-30-09-2023-0.api.json","6119358","organism","man;plants;Sepsis","","man;plants;Sepsis"
"patch-30-09-2023-0.api.json","6167185","disease","psychosis;Major Depressive Disorder;anxiety disorder;dysfluency;autism spectrum disorders;perseveration;obsessive compulsive disorder;intellectual disability;depressive disorder;behavioral disorders;anxiety;psychiatric disorders;neurological disorder;psychiatric diagnosis","","psychosis;Major Depressive Disorder;anxiety disorder;dysfluency;autism spectrum disorders;perseveration;obsessive compulsive disorder;intellectual disability;depressive disorder;behavioral disorders;anxiety;psychiatric disorders;neurological disorder;psychiatric diagnosis"
"patch-30-09-2023-0.api.json","6167185","gene_protein","oxytocin receptor;Oxytocin;Zak;oxytocin","","oxytocin receptor;Oxytocin;Zak;oxytocin"
"patch-30-09-2023-0.api.json","6167185","organism","Unoka;tobacco;human;animals","","Unoka;tobacco;human;animals"
"patch-30-09-2023-0.api.json","6128716","disease","defects","","defects"
"patch-30-09-2023-0.api.json","6128716","gene_protein","KSA","","KSA"
"patch-30-09-2023-0.api.json","6128716","organism","","",""
"patch-30-09-2023-0.api.json","6124036","disease","heaves","","heaves"
"patch-30-09-2023-0.api.json","6124036","gene_protein","","",""
"patch-30-09-2023-0.api.json","6124036","organism","","",""
"patch-30-09-2023-0.api.json","6120740","disease","","",""
"patch-30-09-2023-0.api.json","6120740","gene_protein","CH2;septa;GST","","CH2;septa;GST"
"patch-30-09-2023-0.api.json","6120740","organism","","",""
"patch-30-09-2023-0.api.json","6124025","disease","","",""
"patch-30-09-2023-0.api.json","6124025","gene_protein","vis;C1s","","vis;C1s"
"patch-30-09-2023-0.api.json","6124025","organism","","",""
"patch-30-09-2023-0.api.json","6127710","disease","torsion","","torsion"
"patch-30-09-2023-0.api.json","6127710","gene_protein","N10;abs;cml;P21;STO;AN4;H10","","cml;P21;STO;AN4;N10;H10;abs"
"patch-30-09-2023-0.api.json","6127710","organism","tetra","","tetra"
"patch-30-09-2023-0.api.json","6124635","disease","infection","","infection"
"patch-30-09-2023-0.api.json","6124635","gene_protein","","",""
"patch-30-09-2023-0.api.json","6124635","organism","baker's yeast;tomato;banana;D. montana;flies;house flies;humans;Drosophila melanogaster;Flies;human;D. melanogaster;Drosophila;vertebrates;bananas;yeast","","baker's yeast;tomato;banana;D. montana;flies;house flies;humans;Drosophila melanogaster;Flies;human;D. melanogaster;Drosophila;vertebrates;bananas;yeast"
"patch-30-09-2023-0.api.json","6126655","disease","defects","","defects"
"patch-30-09-2023-0.api.json","6126655","gene_protein","ND3","","ND3"
"patch-30-09-2023-0.api.json","6126655","organism","Aree","","Aree"
"patch-30-09-2023-0.api.json","6116091","disease","obese","","obese"
"patch-30-09-2023-0.api.json","6116091","gene_protein","","",""
"patch-30-09-2023-0.api.json","6116091","organism","NRVs;NRV","","NRVs;NRV"
"patch-30-09-2023-0.api.json","6127799","disease","","",""
"patch-30-09-2023-0.api.json","6127799","gene_protein","S12;Mani;3,6;S11","","S12;Mani;3,6;S11"
"patch-30-09-2023-0.api.json","6127799","organism","Protea;Lento","","Protea;Lento"
"patch-30-09-2023-0.api.json","6129473","disease","","",""
"patch-30-09-2023-0.api.json","6129473","gene_protein","DTD","","DTD"
"patch-30-09-2023-0.api.json","6129473","organism","","",""
"patch-30-09-2023-0.api.json","6124101","disease","","",""
"patch-30-09-2023-0.api.json","6124101","gene_protein","STA;char;HMTA;KAS;RTP2","","STA;KAS;RTP2;char;HMTA"
"patch-30-09-2023-0.api.json","6124101","organism","","",""
"patch-30-09-2023-0.api.json","6129215","disease","","",""
"patch-30-09-2023-0.api.json","6129215","gene_protein","SES;3,6","","SES;3,6"
"patch-30-09-2023-0.api.json","6129215","organism","tobacco;Tobacco","","tobacco;Tobacco"
"patch-30-09-2023-0.api.json","6132384","disease","","",""
"patch-30-09-2023-0.api.json","6132384","gene_protein","MSE;sim;N10;Sns;ge 1;3,6","","MSE;Sns;sim;ge 1;N10;3,6"
"patch-30-09-2023-0.api.json","6132384","organism","","",""
"patch-30-09-2023-0.api.json","6120736","disease","","",""
"patch-30-09-2023-0.api.json","6120736","gene_protein","PCM;TSA;APEX2;BMK;SCF;P21;vis;BBI;S11","","PCM;TSA;APEX2;BMK;SCF;P21;vis;BBI;S11"
"patch-30-09-2023-0.api.json","6120736","organism","Cotton","","Cotton"
"patch-30-09-2023-0.api.json","6115216","disease","","",""
"patch-30-09-2023-0.api.json","6115216","gene_protein","","",""
"patch-30-09-2023-0.api.json","6115216","organism","Tiger","","Tiger"
"patch-30-09-2023-0.api.json","6126818","disease","erosion","","erosion"
"patch-30-09-2023-0.api.json","6126818","gene_protein","RCA;FAS","","RCA;FAS"
"patch-30-09-2023-0.api.json","6126818","organism","cylinder;cylinders","","cylinder;cylinders"
"patch-30-09-2023-0.api.json","6120778","disease","impaired driving","","impaired driving"
"patch-30-09-2023-0.api.json","6120778","gene_protein","","",""
"patch-30-09-2023-0.api.json","6120778","organism","Composite","","Composite"
