"File_name","PMCID","Entity_Type","Original_set","Comparison_set","Filtered_set"
"patch-01-10-2023-0.api.json","6188581","disease","multiple sclerosis;neurological disease;Shaking Palsy;neurodegenerative disorder;Parkinson's disease;Parkinson's Disease;neurological disorders;anxiety;neurological diseases;cognitive changes","multiple sclerosis;neurological disease;neurodegenerative disorder;Parkinson's disease;Parkinson's Disease;neurological disorders;anxiety;neurological diseases","Shaking Palsy;cognitive changes"
"patch-01-10-2023-0.api.json","6182251","disease","reflux","","reflux"
"patch-01-10-2023-0.api.json","6199132","gene_protein","LCB2;LCB1;LC3;stg","LC3","LCB2;LCB1;stg"
"patch-01-10-2023-0.api.json","3186338","gene_protein","P-selectin;Integrin αIIb;thrombin;endothelial NOS;thymidine kinase;Akt 1;Src;PGK;luciferase;P2Y12;eNOS;ERK;integrin β3;CGS;Pf4;collagen receptor;MAPK;p42;Chrono;neuronal NOS;β-actin;SNAP1;integrin αIIb;NOS1;recombinase;GPVI;NOS3;adenylate cyclase;E14;nitric oxide synthase;iNOS;Thrombin;nNOS;NOS2;Akt;PGK-1;VASP;ACD;PI3K;inducible NOS","P-selectin;Integrin αIIb;thrombin;endothelial NOS;thymidine kinase;Akt 1;Src;PGK;luciferase;P2Y12;eNOS;ERK;integrin β3;Pf4;collagen receptor;MAPK;p42;neuronal NOS;β-actin;SNAP1;integrin αIIb;NOS1;recombinase;GPVI;NOS3;adenylate cyclase;nitric oxide synthase;iNOS;Thrombin;nNOS;NOS2;Akt;PGK-1;VASP;PI3K;inducible NOS","E14;CGS;Chrono;ACD"
"patch-01-10-2023-0.api.json","6191844","organism","rat;human;rats","rat;human;rats",""
"patch-01-10-2023-0.api.json","6194100","organism","Apple","","Apple"
"patch-01-10-2023-1.api.json","6197808","disease","life stress;Separation Anxiety;Anxiety Disorder;Anxiety;anxiety disorders;depression;mental disorders;specific phobias;Social Anxiety Disorder;Obsessive-Compulsive Disorder;social anxiety disorder;Depressive Disorder;Separation Anxiety Disorder;autism;substance use;Lord;panic disorder;generalized anxiety disorder;separation anxiety disorder;separation anxiety;major depressive disorder;obsessive-compulsive disorder;psychiatric problems;Generalized Anxiety Disorder;anxiety;psychiatric disorders;anxiety disorder;Major Depression;Depression;social phobia;behavioral problems","Separation Anxiety;Anxiety Disorder;Anxiety;anxiety disorders;depression;mental disorders;specific phobias;Social Anxiety Disorder;Obsessive-Compulsive Disorder;social anxiety disorder;Depressive Disorder;Separation Anxiety Disorder;autism;substance use;panic disorder;generalized anxiety disorder;separation anxiety disorder;separation anxiety;major depressive disorder;obsessive-compulsive disorder;psychiatric problems;Generalized Anxiety Disorder;anxiety;psychiatric disorders;anxiety disorder;Major Depression;Depression;social phobia;behavioral problems","life stress;Lord"
"patch-01-10-2023-1.api.json","6187748","disease","hyperprolactinemia;diabetes;Hyperprolactinemia;hyperlipidemia;depression;substance abuse;cardiovascular disease;Schizophrenia;disinhibition;anorexic;atherosclerosis;schizophrenia;eating disorders;Obesity;type 2 diabetes;malnutrition;binge eating;anorexia nervosa;dyslipidemia;brain disorders;Gai;overeating;obese;obesity;glucose intolerance;adiposity;anorectic;Substance abuse;canvas;hypertension;hyperglycemia","hyperprolactinemia;diabetes;Hyperprolactinemia;hyperlipidemia;depression;substance abuse;cardiovascular disease;Schizophrenia;anorexic;atherosclerosis;schizophrenia;eating disorders;Obesity;type 2 diabetes;malnutrition;anorexia nervosa;dyslipidemia;brain disorders;obesity;glucose intolerance;Substance abuse;hypertension;hyperglycemia","overeating;obese;disinhibition;binge eating;adiposity;anorectic;canvas;Gai"
"patch-01-10-2023-1.api.json","6181634","gene_protein","NADPH oxidase 4;Gpx5;protein 2;mixed lineage kinase;cathepsin B;P15;cone arrestin;Pdk4;guanine nucleotide-binding protein G(t) subunit α-2;S-opsin;Gss;Gpx1;Cd44;retinal pigment epithelium-specific 65 kDa protein;Rpe65;receptor-interacting serine/threonine-protein kinase 1;Nox4;Dio3;TNF-α;TNFR1;Als2;Il22;transcription factor 5;transducin;agglutinin;IL-22;glutathione synthetase;P21;Casp3;Pepck;RPE65;Ripk3;Park7;MLKL;Hes5;Ctsb;opsin;Gnat2;Ift172;pyruvate dehydrogenase kinase;RIPK1;caspase-8;Ripk1;caspase;streptavidin;peroxidase;lecithin retinol acyltransferase;Mlkl;USA1;serine/threonine-protein kinase;Hprt1;PNA;TNF-related apoptosis-inducing ligand;Tnfrsf9;M protein;phosphodiesterase 6;phosphatase;Nrl;Ucp2;Gpx6;Tnf;TNF;Casp8;CD44;glutathione peroxidase 4;receptor-interacting serine/threonine-protein kinase 3;guanylate cyclase;Casp;Tnfr1;Casp7;Dio2;Thrb2;caspase-7;peroxidases;caspase-3;RIPK3;TRADD;Ehd2;Tradd;mixed-lineage kinase;Ncf1;M-opsin;Gpx4;Gpx2;Pck2","NADPH oxidase 4;Gpx5;protein 2;mixed lineage kinase;cathepsin B;cone arrestin;Pdk4;guanine nucleotide-binding protein G(t) subunit α-2;S-opsin;Gss;Gpx1;Cd44;retinal pigment epithelium-specific 65 kDa protein;Rpe65;receptor-interacting serine/threonine-protein kinase 1;Nox4;Dio3;TNF-α;TNFR1;Als2;Il22;transcription factor 5;transducin;agglutinin;IL-22;glutathione synthetase;P21;Casp3;Pepck;RPE65;Ripk3;MLKL;Hes5;Ctsb;opsin;Gnat2;Ift172;pyruvate dehydrogenase kinase;RIPK1;caspase-8;Ripk1;caspase;streptavidin;peroxidase;lecithin retinol acyltransferase;Mlkl;serine/threonine-protein kinase;Hprt1;PNA;TNF-related apoptosis-inducing ligand;Tnfrsf9;M protein;phosphodiesterase 6;phosphatase;Nrl;Ucp2;Gpx6;Tnf;TNF;Casp8;CD44;glutathione peroxidase 4;receptor-interacting serine/threonine-protein kinase 3;guanylate cyclase;Casp;Tnfr1;Casp7;Dio2;Thrb2;caspase-7;peroxidases;caspase-3;RIPK3;TRADD;Ehd2;Tradd;mixed-lineage kinase;Ncf1;M-opsin;Gpx4;Gpx2;Pck2","P15;USA1;Park7"
"patch-01-10-2023-1.api.json","6189366","gene_protein","PR4B;protein 2;MKK9;AtNUDT7;CD38;AtNUDT6;glutathione S-transferase;phosphatase;CM2;calmodulin;Seman;MED14;mono(ADP-ribosyl)transferases;NIMIN2;LecRK-I.8;PTI5;NAD1;Cit;MAPKK;PR4A;protein 4b;lectin;protein 5;NIM1;AtNUDT8;nadC;MED16;NADH;GST6","PR4B;protein 2;MKK9;AtNUDT7;CD38;AtNUDT6;glutathione S-transferase;CM2;MED14;NIMIN2;LecRK-I.8;PTI5;NADH;NAD1;Cit;MAPKK;PR4A;protein 4b;lectin;protein 5;NIM1;AtNUDT8;nadC;MED16;mono(ADP-ribosyl)transferases","calmodulin;GST6;phosphatase;Seman"
